企业代号,风险概率,风险分数,风险等级
E230,0.000762570197268104,0,低风险
E229,0.0013239838503719065,0,低风险
E228,0.0012917318862327074,0,低风险
E226,0.0024714654423560805,0,低风险
E219,0.003414562829358656,0,低风险
E225,0.0014702002756210716,0,低风险
E224,0.0014140271283307926,0,低风险
E223,0.0043715125543125136,0,低风险
E222,0.002082065366959498,0,低风险
E221,0.0026321404409102487,0,低风险
E220,0.001390645866874142,0,低风险
E275,0.0028742254655210074,0,低风险
